type,nanoseconds
|/mob/living/simple_animal/hostile/asteroid/goliath,79
|/mob/living/simple_animal/hostile/asteroid/hivelord,66
|/mob/living/simple_animal/hostile/asteroid/basilisk,44
|/mob/living/carbon/slime,11
|/mob/living/carbon/monkey,146
|/mob/living/simple_animal/mouse,15
|/mob/living/simple_animal/crab,3
|/mob/living/simple_animal/cow,2
|/mob/living/simple_animal/mouse/white,1
|/mob/living/simple_animal/corgi/Ian,15
|/mob/living/carbon/brain,17
|/mob/living/simple_animal/cat/Runtime,2
|/mob/living/simple_animal/chick,0
|/mob/living/simple_animal/mouse/brown/Tom,1
|/mob/living/simple_animal/hostile/creature,39
|/mob/living/simple_animal/crab/Coffee,1
|/mob/living/simple_animal/hostile/giant_spider/hunter,49
|/mob/living/simple_animal/hostile/giant_spider/nurse,8
|/mob/living/carbon/human,421
|/mob/living/simple_animal/parrot/Poly,0
Thingolus|/mob/new_player,0
Motaccir|/mob/new_player,0
Praecordia|/mob/new_player,0
Cereba|/mob/living/carbon/human,88
Desmodus|/mob/living/carbon/human,89
Ch0c0latem00se|/mob/living/carbon/human,112
Spinecone|/mob/living/carbon/human,88
Cacabot|/mob/living/carbon/human,84
RFultra|/mob/living/carbon/human,108
Moapy|/mob/living/carbon/human,36
Cryus|/mob/living/carbon/human,86
CCaper|/mob/living/carbon/human,113
Iwapalace|/mob/living/carbon/human,17
Zenthekiller|/mob/living/carbon/human,111
Sinon23|/mob/living/carbon/human,21
Zth|/mob/living/carbon/human,85
Ephx|/mob/living/silicon/robot/mommi,15
Fiendir|/mob/new_player,0
Drognan|/mob/new_player,0
Elitemuffin|/mob/living/silicon/robot/mommi,11
IconLeap|/mob/dead/observer,0
Drognan|/mob/living/carbon/human,80
Praecordia|/mob/living/carbon/human,121
Motaccir|/mob/living/carbon/human,94
Thingolus|/mob/living/carbon/human,129
@Thingolus|/mob/living/carbon/human,6
Thingolus|/mob/dead/observer,0
Ys|/mob/new_player,0
Shempo|/mob/new_player,0
|/mob/living/simple_animal/chicken,4
|/mob/living/carbon/slime/adult,2
Fiendir|/mob/living/carbon/human,185
Literofka|/mob/new_player,0
A bumbling idiot|/mob/new_player,0
Rippetoe|/mob/new_player,0
JackMassacre|/mob/new_player,0
Greycap|/mob/new_player,0
|/mob/living/carbon/slime/metal,3
A bumbling idiot|/mob/living/carbon/human,116
Rippetoe|/mob/living/carbon/human,146
Cpt_Wad|/mob/new_player,0
Greycap|/mob/living/carbon/human,71
Cpt_Wad|/mob/living/carbon/human,104
|/mob/living/carbon/slime/adult/metal,1
ArthurDentist|/mob/new_player,0
JackMassacre|/mob/living/carbon/human,67
Kbcy|/mob/new_player,0
|/mob/living/carbon/slime/orange,1
ArthurDentist|/mob/living/carbon/human,17
Kbcy|/mob/living/carbon/human,25
Shempo|/mob/living/carbon/human,17
Alienslayer50|/mob/new_player,0
Alienslayer50|/mob/living/carbon/human,91
Toobs|/mob/new_player,0
Toobs|/mob/dead/observer,0
Shempo|/mob/living/carbon/brain,0
Shempo|/mob/living/silicon/robot,14
Mapos|/mob/new_player,0
N3X15|/mob/new_player,0
N3X15|/mob/dead/observer,0
Fiskap|/mob/new_player,0
DaDe92|/mob/new_player,0
Jmahapane|/mob/new_player,0
Jmahapane|/mob/living/carbon/human,72
Iwapalace|/mob/dead/observer,1
|/mob/living/carbon/slime/purple,4
DaDe92|/mob/living/carbon/human,81
Rei1226|/mob/new_player,0
|/mob/new_player,0
Fiskap|/mob/living/carbon/human,127
Rei1226|/mob/living/carbon/human,69
Pomf123|/mob/new_player,0
Konater|/mob/new_player,0
Pomf123|/mob/dead/observer,0
Jakerno|/mob/new_player,0
DokiDokiDoki|/mob/new_player,0
Jakerno|/mob/living/carbon/human,75
DokiDokiDoki|/mob/living/carbon/human,103
|/mob/living/carbon/slime/adult/purple,0
Regab|/mob/new_player,0
VonZippenstein|/mob/new_player,0
Literofka|/mob/living/carbon/human,95
VonZippenstein|/mob/living/carbon/human,67
Thiberion|/mob/new_player,0
Moapy|/mob/dead/observer,0
ArthurDentist|/mob/living/carbon/brain,0
Regab|/mob/living/carbon/human,114
|/mob/living/carbon/slime/green,8
Mercuriman|/mob/new_player,0
Netmaster296|/mob/new_player,0
ArthurDentist|/mob/living/silicon/robot,7
Mercuriman|/mob/living/carbon/human,108
moapy|/mob/living/carbon/brain,2
Thiberion|/mob/living/carbon/human,44
|/mob/living/carbon/slime/adult/green,1
Zennyization|/mob/new_player,0
|/mob/living/carbon/slime/gold,3
|/mob/living/carbon/slime/silver,5
|/mob/living/simple_animal/bee,139
Erthilo|/mob/new_player,0
Zennyization|/mob/living/carbon/human,50
Netmaster296|/mob/living/carbon/human,52
HerrytheafroHeadcrab|/mob/new_player,0
Commissar Love|/mob/new_player,0
Kbcy|/mob/living/carbon/brain,0
Commissar Love|/mob/living/carbon/human,81
HerrytheafroHeadcrab|/mob/living/carbon/human,69
|/mob/living/carbon/slime/adult/gold,0
LykD9|/mob/new_player,0
Konater|/mob/dead/observer,0
Hoshi-chan|/mob/new_player,0
|/mob/living/carbon/slime/adult/silver,0
LykD9|/mob/living/carbon/human,14
Hoshi-chan|/mob/dead/observer,1
Erthilo|/mob/living/carbon/human,73
MerryJam|/mob/new_player,0
MerryJam|/mob/dead/observer,3
Pungus|/mob/new_player,0
Pungus|/mob/living/carbon/human,74
Kharloth|/mob/new_player,0
Kharloth|/mob/living/carbon/human,84
|/mob/dead/observer,0
|/mob/camera,1
Kbcy|/mob/living/silicon/robot/mommi,6
|/mob/camera/blob,3
The Andrex Puppy|/mob/new_player,0
Dr. Explosion|/mob/new_player,0
Dr. Explosion|/mob/living/carbon/human,108
|/mob/living/carbon/slime/pyrite,5
|/mob/living/simple_animal/hostile/alien/drone,19
LykD9|/mob/dead/observer,0
Banon13|/mob/new_player,0
Banon13|/mob/living/carbon/human,38
|/mob/living/simple_animal/hostile/mimic/crate,6
|/mob/living/simple_animal/hostile/carp,35
The Andrex Puppy|/mob/living/carbon/human,13
Cocothegog0|/mob/new_player,0
Cocothegog0|/mob/dead/observer,1
|/mob/living/simple_animal/hostile/mimic,0
|/mob/living/carbon/slime/adamantine,4
|/mob/living/simple_animal/hostile/retaliate/malf_drone,21
MaddoScientisto|/mob/new_player,0
MaddoScientisto|/mob/living/carbon/human,54
Sinon23|/mob/dead/observer,0
Toobs|/mob/living/carbon/human,44
|/mob/living/simple_animal/hostile/hivebot/range,10
konater|/mob/living/simple_animal/hostile/alien/drone,0
@Konater|/mob/living/simple_animal/hostile/alien/drone,0
konater|/mob/dead/observer,0
Rippetoe|/mob/dead/observer,0
|/mob/living/simple_animal/spiderbot,0
Mapos|/mob/living/carbon/human,59
lykd9|/mob/living/simple_animal/mouse,0
|/mob/living/simple_animal/hostile/bear/Hudson,7
