type,nanoseconds
/obj/machinery/power/emitter,32
/obj/machinery/field_generator,53
/obj/machinery/atmospherics/pipe/simple/heat_exchanging,25
/obj/machinery/light/small,133
/obj/machinery/light,167
/obj/machinery/the_singularitygen,0
/obj/machinery/shield_gen,2
/obj/machinery/shield_capacitor,0
/obj/machinery/atmospherics/unary/vent_scrubber,656
/obj/machinery/shieldgen,0
/obj/machinery/portable_atmospherics/canister/toxins,2
/obj/machinery/atmospherics/unary/vent_pump,214
/obj/machinery/atmospherics/pipe/simple/heat_exchanging/junction,5
/obj/machinery/atmospherics/portables_connector,12
/obj/machinery/portable_atmospherics/canister/carbon_dioxide,1
/obj/machinery/alarm,373
/obj/machinery/power/rad_collector,1
/obj/machinery/power/am_control_unit,0
/obj/machinery/door/firedoor/border_only,92
/obj/machinery/atmospherics/pipe/vent/high_volume,14
/obj/machinery/meter,79
/obj/machinery/portable_atmospherics/canister/oxygen,93
/obj/machinery/particle_accelerator/control_box,2
/obj/machinery/atmospherics/trinary/filter,17
/obj/machinery/atmospherics/binary/pump,20
/obj/machinery/door/firedoor,34
/obj/machinery/power/tracker,0
/obj/machinery/airlock_sensor,89
/obj/machinery/embedded_controller/radio/smart_airlock_controller,0
/obj/machinery/computer/general_air_control/large_tank_control,5
/obj/machinery/computer/general_air_control/atmos_automation/burnchamber,0
/obj/machinery/power/smes,3
/obj/machinery/status_display,35
/obj/machinery/power/solar,14
/obj/machinery/atmospherics/unary/vent_pump/high_volume,6
/obj/machinery/air_sensor,112
/obj/machinery/atmospherics/unary/outlet_injector,11
/obj/machinery/hologram/holopad,14
/obj/machinery/atmospherics/binary/dp_vent_pump/high_volume,2
/obj/machinery/atmospherics/binary/circulator,1
/obj/machinery/power/generator,1
/obj/machinery/computer/security/telescreen,4
/obj/machinery/alarm/xenobio,17
/obj/machinery/igniter,3
/obj/machinery/power/apc,318
/obj/machinery/disposal,214
/obj/machinery/atmospherics/binary/volume_pump,4
/obj/machinery/atmospherics/miner/nitrogen,7
/obj/machinery/atmospherics/miner/oxygen,4
/obj/machinery/power/port_gen/pacman,2
/obj/machinery/power/solar_control,3
/obj/machinery/computer/station_alert,7
/obj/machinery/computer/atmos_alert,1
/obj/machinery/cell_charger,5
/obj/machinery/vending/wallmed1,10
/obj/machinery/vending/engivend,2
/obj/machinery/vending/tool,1
/obj/machinery/atmospherics/trinary/mixer,8
/obj/machinery/computer/med_data/laptop,1
/obj/machinery/computer/diseasesplicer,0
/obj/machinery/disease2/diseaseanalyser,0
/obj/machinery/vending/cigarette,16
/obj/machinery/atm,5
/obj/machinery/vending/cola,10
/obj/machinery/disease2/incubator,1
/obj/machinery/telecomms/relay/preset/telecomms,0
/obj/machinery/space_heater/air_conditioner,6
/obj/machinery/atmospherics/miner/carbon_dioxide,3
/obj/machinery/computer/centrifuge,0
/obj/machinery/computer/atmoscontrol/xeno,0
/obj/machinery/telecomms/server/presets/engineering,0
/obj/machinery/telecomms/processor/preset_one,1
/obj/machinery/telecomms/bus/preset_one,0
/obj/machinery/telecomms/receiver/preset_left,0
/obj/machinery/telecomms/receiver/preset_right,0
/obj/machinery/telecomms/bus/preset_four,1
/obj/machinery/telecomms/processor/preset_four,0
/obj/machinery/telecomms/server/presets/security,1
/obj/machinery/space_heater,9
/obj/machinery/embedded_controller/radio/access_controller,342
/obj/machinery/alarm/server,2
/obj/machinery/telecomms/server/presets/common,0
/obj/machinery/telecomms/processor/preset_two,1
/obj/machinery/telecomms/bus/preset_two,0
/obj/machinery/telecomms/hub/preset,0
/obj/machinery/telecomms/bus/preset_three,0
/obj/machinery/telecomms/processor/preset_three,1
/obj/machinery/telecomms/server/presets/science,0
/obj/machinery/portable_atmospherics/pump,11
/obj/machinery/telecomms/server/presets/command,0
/obj/machinery/telecomms/broadcaster/preset_left,0
/obj/machinery/telecomms/broadcaster/preset_right,1
/obj/machinery/telecomms/server/presets/medical,0
/obj/machinery/portable_atmospherics/scrubber,6
/obj/machinery/atmospherics/pipe/vent,91
/obj/machinery/telecomms/server/presets/supply,0
/obj/machinery/telecomms/relay/preset/station,0
/obj/machinery/message_server,0
/obj/machinery/atmospherics/miner/toxins,5
/obj/machinery/shower,1
/obj/machinery/recharge_station,7
/obj/machinery/computer/arcade,3
/obj/machinery/vending/snack,11
/obj/machinery/vending/coffee,7
/obj/machinery/turret,12
/obj/machinery/computer/message_monitor,3
/obj/machinery/atmospherics/unary/thermal_plate,7
/obj/machinery/atmospherics/tvalve/mirrored/digital,0
/obj/machinery/atmospherics/miner/sleeping_agent,4
/obj/machinery/atmospherics/unary/cold_sink/freezer,9
/obj/machinery/atmospherics/unary/heat_reservoir/heater,3
/obj/machinery/computer/telecomms/server,0
/obj/machinery/computer/telecomms/traffic,11
/obj/machinery/computer/telecomms/monitor,1
/obj/machinery/computer/general_air_control,0
/obj/machinery/portable_atmospherics/canister/air,32
/obj/machinery/portable_atmospherics/canister/nitrogen,1
/obj/machinery/portable_atmospherics/canister/sleeping_agent,19
/obj/machinery/computer/atmoscontrol,0
/obj/machinery/embedded_controller/radio/simple_vent_controller,0
/obj/machinery/vending/assist,1
/obj/machinery/computer/security/engineering,0
/obj/machinery/computer/crew,0
/obj/machinery/recharger/defibcharger/wallcharger,3
/obj/machinery/computer/telescience,0
/obj/machinery/embedded_controller/radio/airlock_controller,0
/obj/machinery/shieldwallgen,3
